hw(rs1),HW
11,113
17,142
8,108
15,129
14,126
17,145
14,123
11,130
16,132
11,112
12,120
9,109
3,55
13,123
7,99
14,114
9,117
16,132
8,107
2,43
15,138
6,92
16,134
12,112
10,123
17,136
15,126
15,130
11,130
3,48
13,123
11,129
14,124
3,47
16,127
10,120
11,120
12,139
2,42
1,23
16,124
6,86
10,110
15,129
2,41
14,129
17,135
15,120
9,115
9,111
14,120
12,134
7,102
7,111
12,125
14,127
10,128
17,133
15,139
2,43
12,129
2,43
6,89
1,21
17,138
17,118
5,88
15,116
0,3
7,102
16,122
17,111
5,76
11,119
10,127
4,75
15,128
16,110
14,128
2,34
15,131
14,124
12,113
12,109
17,102
0,3
2,35
15,143
4,80
2,41
13,123
10,113
6,88
15,120
9,98
14,143
3,48
3,58
12,137
13,124
0,3
15,123
3,59
16,140
18,114
10,125
17,124
6,81
6,83
16,122
5,87
6,90
1,23
8,105
14,129
1,23
5,65
5,77
18,137
4,65
12,137
7,100
5,86
10,119
9,120
16,127
18,132
8,109
10,129
16,129
0,1
15,123
7,85
16,116
5,86
2,41
17,126
16,114
17,115
17,122
11,126
11,110
13,117
14,113
0,3
13,118
14,120
0,1
15,140
0,3
10,119
17,137
16,120
1,20
14,125
8,108
12,117
14,129
2,37
10,118
13,122
13,134
14,125
9,117
6,86
8,110
16,140
4,67
5,79
16,129
13,135
8,119
13,127
13,129
8,107
6,88
1,23
14,119
12,127
15,137
5,76
6,78
16,135
3,53
11,122
8,111
17,122
14,135
6,89
9,113
18,126
16,118
11,106
1,23
6,91
4,62
1,21
16,143
10,105
15,123
12,140
12,116
16,141
4,73
9,126
16,128
0,3
13,115
17,135
15,123
8,108
16,126
12,108
16,121
0,1
2,38
19,113
10,119
15,120
17,104
16,128
17,110
10,119
17,146
17,116
6,90
17,117
13,134
14,120
9,112
16,122
17,135
6,88
0,3
9,107
11,123
12,121
9,118
8,113
13,109
15,126
13,111
17,125
14,118
19,122
15,121
15,156
16,145
11,119
15,123
11,124
12,138
4,73
13,125
4,75
11,112
2,40
10,127
10,106
7,108
17,144
4,69
15,127
1,20
9,119
8,101
9,122
12,118
2,40
3,61
9,93
6,79
16,135
11,141
16,133
10,123
12,125
5,83
13,120
4,53
1,21
14,138
9,117
5,82
15,142
17,116
19,145
14,145
7,104
17,126
9,117
0,1
17,138
15,133
12,112
13,125
16,123
1,23
14,126
12,136
2,37
16,124
1,23
12,122
12,125
16,147
15,128
10,116
20,142
8,106
17,136
13,131
17,117
14,128
17,137
14,120
15,143
15,112
18,152
15,129
13,132
8,88
14,125
10,92
18,127
9,124
8,113
1,23
9,102
14,114
14,135
19,130
14,114
11,122
9,111
14,126
16,138
15,123
10,114
17,108
19,143
4,67
12,99
15,139
14,127
0,3
16,134
6,94
6,89
6,95
17,129
1,21
17,126
0,3
12,120
10,126
16,141
11,121
18,125
8,109
9,115
16,122
10,129
14,130
12,134
12,116
8,121
7,102
18,126
14,126
13,116
6,99
10,128
3,51
14,117
16,138
1,21
10,115
17,130
14,151
2,40
14,130
1,23
8,117
16,144
